github_followers,github_public_repos,years_of_experience,skill_match_count,commit_frequency,repo_quality_score,collaboration_score,risk_category
47,5,13,6,8.386217961980568,6.783931464059073,1.0280856173585395,Medium Risk
22,43,6,0,6.547757512842603,6.605324154364861,0.7748729013574951,Medium Risk
61,8,14,8,2.2842585230842016,6.14642818934886,5.932594701753773,Medium Risk
87,44,8,5,2.740117803855475,8.49219144694105,1.8934772362985863,Medium Risk
36,35,8,3,3.1484115540873536,4.802669256656275,3.6124279404101047,Medium Risk
98,42,13,2,1.16804107733952,8.704108285583004,8.620177161300168,Medium Risk
43,19,2,2,2.731596203699451,3.5944502618223915,4.243381397962756,High Risk
85,17,3,1,2.095192243125321,9.267075043390905,9.156913500516376,Medium Risk
90,42,1,1,4.553287498086021,6.986569800812401,4.979380533956062,High Risk
34,20,9,9,9.084375478722649,2.5717713602442727,3.9883661483975574,Medium Risk
64,3,2,4,1.0448031675395808,5.640849216886251,7.503889270907016,High Risk
98,49,10,8,7.202679239473956,5.330305614882556,0.731750987680021,Low Risk
46,32,10,1,6.872830044131277,1.3789882173033396,0.8947838298241739,Medium Risk
77,26,4,1,0.9575419866335766,5.912429057506142,6.519737139229607,High Risk
2,6,4,5,9.225724049058,3.1478562371695795,4.869407132392483,Medium Risk
0,5,5,9,5.684722021568196,0.5234876680960243,7.904152503192102,Medium Risk
4,14,12,1,3.6372552113568424,9.486561577065649,9.162708373435315,Medium Risk
89,17,6,3,7.565385834953067,6.414903690642878,3.883668776715475,Medium Risk
13,31,6,5,2.5736545840163405,8.76918931870847,5.964100265846462,Medium Risk
26,10,0,4,6.935098370463204,6.760560050132531,5.006966277953099,High Risk
8,19,13,0,0.3971120757224722,3.569836921401129,9.816106556424328,Medium Risk
78,23,1,5,8.39408037609272,5.126880723288114,8.310844073565951,Medium Risk
14,14,11,0,4.481708470213185,6.7574676034717704,9.117377082773535,Medium Risk
89,47,8,2,6.3669291435794175,9.602523252014375,2.543400875776042,Medium Risk
41,6,9,9,2.212378198066837,2.536694591216965,7.7252642316259434,Medium Risk
76,20,1,4,6.770737126584479,8.749770586241176,2.6547322499764894,Medium Risk
50,41,5,9,7.722402758932766,9.240778052942694,2.087425334283899,Medium Risk
62,25,10,4,4.732131868843988,6.7041551465895655,9.442661596555508,Medium Risk
95,43,10,9,6.177269240617943,9.312666274013377,0.19304416717866646,Low Risk
51,13,0,5,4.563259238223986,3.978785874773685,9.653887036634297,High Risk
95,36,2,9,8.940913692578455,9.530161760404427,1.492618969888062,Medium Risk
3,20,1,7,4.978691805143192,7.027828771659749,8.194380817932682,Medium Risk
93,17,2,4,8.41808709028819,0.420057674188119,2.759225530681031,High Risk
22,4,4,0,8.013520582702485,9.068728318190528,3.507023274307274,High Risk
14,2,10,4,4.105048213483565,4.844728090331926,2.1675771132198496,Medium Risk
42,22,9,2,2.30084491857475,4.6032698477783285,5.855140424810797,Medium Risk
28,25,5,3,4.0608213255977095,5.6646660597963425,3.4809554750787406,Medium Risk
35,36,8,7,8.262173757752201,1.4938454677122792,6.573930394946633,Medium Risk
12,23,11,6,2.2763253581939233,4.691660485673986,0.15647317942065975,Medium Risk
31,48,10,4,5.244363458577493,8.311272167177457,0.6437488351503962,Medium Risk
70,18,14,1,8.060967479607475,0.15482459137515336,0.9966115273124865,Medium Risk
58,24,14,5,3.5347747512837877,2.7291716032437128,4.189936853102311,Medium Risk
85,20,9,5,6.422096370026974,0.0245458644384422,8.14796172659976,Medium Risk
27,11,11,9,2.4563157404881455,4.157113091498483,8.881779103783828,Medium Risk
65,40,11,9,1.0927944536815992,7.283155104937347,2.4481074006090076,Medium Risk
41,32,12,5,7.943842250928563,7.987718291146285,5.74369724239014,Medium Risk
44,49,3,8,0.9896862340870682,9.451897611270066,7.683649926926005,Medium Risk
61,3,6,7,2.7138139507958456,6.085046129707865,2.8882942991960867,Medium Risk
56,41,5,7,8.5510942199744,2.5462686665289547,4.090077367362732,Medium Risk
5,6,1,0,3.464692870786672,9.24147949136699,5.239742026857139,High Risk
27,21,9,4,9.73045349514161,7.753157538803761,1.348748464080477,Medium Risk
27,32,10,6,9.797343347738597,5.744284830031445,0.25982293725780314,Medium Risk
43,16,10,5,2.682760204535567,6.95640215718936,1.5280580931828325,Medium Risk
83,23,10,4,0.4097822224989045,9.243163550074291,6.268536212535334,Medium Risk
29,33,14,7,7.050632842053791,7.123940284729216,0.7361826153368167,Medium Risk
61,27,14,2,4.509865026483437,3.68374507584734,1.896963648501283,Medium Risk
74,42,7,5,1.0075284395957629,7.130282022890967,3.3785388569530372,Medium Risk
91,40,6,4,7.075228189780428,0.4027816273538787,0.7787006430636634,Medium Risk
88,38,14,7,0.31174909111921223,3.864155618305812,1.9169927116163443,Medium Risk
61,21,14,3,8.701966904922422,4.063230318455792,9.112697889835111,Medium Risk
96,48,6,7,1.3865252911330372,1.6683823442083467,0.1929913222698476,Medium Risk
0,16,13,9,1.27311878746725,0.23085480551770177,6.5343192417436216,Medium Risk
26,33,14,1,1.7567229796858452,1.3338123663774282,3.8440893091518493,Medium Risk
61,5,7,8,9.602663584920666,6.546214957970551,6.726487394323711,Medium Risk
76,45,11,8,6.93169360253846,8.022888163636875,5.886917203634045,Low Risk
2,5,11,9,8.013715354636368,9.882034927269741,2.234987543546443,Medium Risk
69,33,12,9,3.97634985732753,3.4636350310849426,8.472094875733886,Medium Risk
71,0,13,5,3.3631272750495556,5.993792222611018,4.919403826093567,Medium Risk
26,9,10,3,2.3448400678316994,9.37144966815122,8.225360189134717,Medium Risk
8,20,0,3,4.806480283124089,1.6704178133815262,4.060125361882192,High Risk
61,4,14,5,5.518287335341685,7.176455863427426,9.84685553915239,Medium Risk
36,1,12,4,6.317748436527554,7.549787331491632,7.704893585012963,Medium Risk
96,21,0,5,2.571185039986945,0.8897553586933837,9.659502051125735,High Risk
50,47,7,6,9.486540809029906,8.612493851830651,5.1432647890985885,Low Risk
43,1,3,6,1.6975849820713584,8.131050471108438,4.736911322907005,High Risk
23,9,4,8,9.656531747664124,0.33403006577434446,7.554538093252578,Medium Risk
78,33,7,7,0.14856122507503788,0.9108441488005148,8.802912630134301,Medium Risk
58,15,4,5,4.811256918168456,0.4912689389185232,9.64145795865558,High Risk
31,47,9,5,3.333678381165628,3.3474353179936225,3.2455190603249973,Medium Risk
95,38,3,4,4.491234139302508,5.092889906799262,7.9870457384263895,Medium Risk
87,21,11,0,5.70664578980789,5.323477279546288,2.1064559763553667,Medium Risk
51,11,5,8,4.35589158012709,2.6766675976944265,5.455743467454452,Medium Risk
61,23,12,8,4.14846850301595,9.115968865602742,1.7984814840919916,Medium Risk
57,46,14,8,7.327234154133065,3.682627898719132,3.473973617503389,Low Risk
51,39,11,7,6.8587627508646465,0.455501559653525,9.313583672064592,Medium Risk
11,37,4,9,8.332712820358479,3.0022711154138637,1.4609069977308609,Medium Risk
38,9,13,2,2.4995898123949556,5.311094225441555,6.324008951351965,Medium Risk
1,34,6,0,6.095285097540636,4.08221822588232,5.929542729274033,Medium Risk
2,48,13,7,5.851947853928539,2.738425190992592,1.2073835270898647,Medium Risk
55,31,9,6,3.6973781087268875,1.3132324976431742,3.2597904376881215,Medium Risk
80,6,6,4,4.860575419026809,8.191645000962298,5.629815045152657,Medium Risk
58,20,12,9,3.1378214330572876,9.961452421241919,1.8717860898849026,Medium Risk
1,19,3,6,1.418443976169852,3.295421335238821,8.006236564128153,High Risk
1,25,11,9,2.138012106627328,3.816210441766039,9.721565095347499,Medium Risk
91,3,12,3,1.0551364640120109,6.180375246769571,2.1475939996247204,Medium Risk
53,45,4,8,6.830695751901241,7.184414747355413,1.8691196479057592,Medium Risk
86,21,12,9,6.607273931091515,3.9202953480359124,4.549350717974447,Medium Risk
95,14,2,1,9.506063715798728,9.049295169818151,7.477652771400321,Medium Risk
96,39,14,8,7.296784136472413,5.600039892289184,2.816006102352514,Low Risk
0,20,3,8,0.5204583875613145,4.50390076405931,0.19879908697280402,High Risk
18,14,14,4,8.842451739289542,6.466727531599052,5.41220628032894,Medium Risk
1,21,13,0,8.626751629457258,9.528038482491732,9.566005677673076,Medium Risk
52,27,3,6,4.4332032077269865,7.945522944217055,3.912768554069456,Medium Risk
43,13,2,9,5.858630505279216,0.4001313053512434,4.201345541831004,High Risk
89,26,12,9,9.760783324725189,3.3230991073995964,9.68901717114038,Low Risk
31,40,9,3,5.323043638481662,4.705446849512227,6.9460761162672835,Medium Risk
69,39,4,8,9.053218283760899,3.145175722091053,7.191719228421252,Medium Risk
31,27,4,5,0.8303875781018644,7.001875608304565,5.627020053710677,High Risk
67,25,10,2,1.9105186870868285,8.262691498625811,9.746092108632416,Medium Risk
54,48,6,5,4.407549434413179,7.313450951852715,6.888664844255561,Medium Risk
74,1,3,9,5.847568083373047,9.893332868282753,8.950327516051695,Medium Risk
55,24,12,5,8.162278518628002,2.725476478930291,6.993788657332212,Medium Risk
16,2,3,4,9.882621151431868,8.749894950244215,7.3511582484039595,Medium Risk
37,7,8,1,3.888514964741164,7.666226651744862,2.9041092214224653,High Risk
23,43,5,9,0.47415636140084927,3.621787575581461,3.0347869801381897,Medium Risk
68,32,14,9,8.011715032953248,7.341245436569687,7.829846495760292,Low Risk
97,41,3,1,6.0438071908280815,1.0407595641824696,2.967062891698996,High Risk
69,34,1,6,1.9854285886820167,7.893334823405524,5.6277007080153165,Medium Risk
85,5,5,1,4.948284566214202,5.323306025871027,2.4935231090670196,High Risk
10,38,1,5,7.4231024553372436,2.9229017270925315,8.169833808090694,Medium Risk
15,22,4,4,7.704117870686438,6.557773017841802,1.1050135122769,Medium Risk
96,24,5,3,4.99618411998762,6.41619998714409,8.294466397616645,Medium Risk
72,49,3,6,3.0521453012885913,2.094862227195997,6.027298005076018,Medium Risk
58,42,13,7,9.737425820384935,0.30397414811526136,1.8690953482707728,Medium Risk
69,18,12,3,6.633626109564928,4.336225869016738,5.420353855061181,Medium Risk
79,4,2,0,4.082375193462987,5.695118693444212,2.8249883684734045,High Risk
92,10,6,0,2.804632242046524,8.766052783705984,3.234673347304966,High Risk
2,11,1,0,7.311029830035621,9.282167956475945,3.515280415968803,High Risk
19,9,12,0,2.421834455937677,5.288052181567664,0.6331924697232094,High Risk
58,7,10,4,1.7170998897368817,7.538034837685449,9.859616844014173,Medium Risk
35,23,13,3,5.298338889620703,4.393032723279969,0.31534628131224096,Medium Risk
18,27,5,8,2.8998739264414186,7.46082156572893,6.624968731842785,Medium Risk
89,40,12,2,6.28905144923615,2.0480152493916695,3.7122764775743056,Medium Risk
66,35,3,6,1.1793867487423348,3.710647348035314,6.46010290946699,Medium Risk
18,36,5,7,6.5494110456732155,6.3422799881361485,3.5624825308758377,Medium Risk
19,20,3,5,2.832965279977022,0.1815796560707883,6.737506462588588,High Risk
95,7,3,9,0.0024293443451273156,7.22461310338954,7.292355094683608,Medium Risk
70,8,14,0,1.2693605767417637,8.355355012681668,6.905526403996448,Medium Risk
51,46,3,7,9.33615377835094,3.991416610939514,1.1396198135815228,Medium Risk
32,14,8,9,8.673546391153579,4.479424171771643,6.5689323465468465,Medium Risk
39,47,6,2,2.336090320362368,8.51282212216531,2.799875494540973,Medium Risk
38,45,2,7,7.783719045454912,7.756546353260334,0.2880137056933352,Medium Risk
81,39,2,3,6.085715931739743,2.88149489033375,4.14830671888954,High Risk
0,17,5,7,9.709047114498695,3.2397610656153897,4.335431028038011,Medium Risk
10,41,5,0,3.736056595340591,6.788782323905966,4.671741333524465,Medium Risk
91,19,3,2,6.8146061251717125,5.631980924481612,7.048241653907162,High Risk
56,5,14,5,0.6353572242391858,1.6222957109649694,3.0884380914245915,High Risk
88,11,14,8,3.9624734681640597,3.0992990922916643,3.1528051310392256,Medium Risk
49,1,8,1,9.638176611881805,8.999832768786542,0.6055225624126059,Medium Risk
22,6,3,0,5.389808744501206,6.881744367222634,6.86821215992296,High Risk
30,15,8,9,2.878795033348446,9.859743176855195,5.67826091399584,Medium Risk
93,2,3,2,1.2027096312860686,7.670125299807694,3.494251126937881,High Risk
41,44,1,3,7.035283401815304,9.419744321435902,7.051889789173547,Medium Risk
98,2,1,4,6.448560434297268,2.161885738704754,5.373577492268772,High Risk
6,26,4,2,3.739387136037746,7.714848748169257,4.692449458705397,Medium Risk
15,49,3,9,9.509413518658343,0.2021752014779743,5.1132454366112645,Medium Risk
89,42,6,1,0.22202812987850318,6.707600217115339,6.3634812526705655,Medium Risk
59,39,13,1,3.037238516318258,4.6928227812024135,6.600026045745995,Medium Risk
1,37,10,6,9.210694862995814,3.4676007192006866,2.8895781914071716,Medium Risk
0,32,4,8,3.2093543831944036,8.62404352293089,1.4074336339115323,Medium Risk
47,27,5,9,2.522528338551704,8.542676926575307,1.5663418119051875,Medium Risk
11,0,9,1,5.3422040993124735,0.22301704898643582,6.393908859030017,High Risk
68,7,3,6,8.238017499205379,6.09505122449431,8.72873285767126,Medium Risk
36,36,12,6,1.0314676087836105,3.678322243209564,4.094962783455518,Medium Risk
31,31,11,6,9.430207096457362,4.156610015004492,1.6952016032946238,Medium Risk
8,47,1,2,7.95072881181164,8.320407392187759,7.566024982938546,Medium Risk
98,42,12,6,1.8125025555155194,3.098397715276783,8.324894744194486,Medium Risk
18,36,9,0,7.120079611981627,9.4304881063762,8.805824431209665,Medium Risk
47,3,8,9,3.8495872263755713,1.7963382637214076,6.068314289137332,Medium Risk
79,29,9,0,4.022946780763187,6.627224233681778,8.607285593880846,Medium Risk
2,5,14,4,7.832900924388664,6.721050670137647,0.15414958448407678,Medium Risk
19,45,6,1,9.627848079807322,2.521951614279182,1.0723580176952352,Medium Risk
23,18,3,8,1.2665587284719393,3.2475060896720196,0.9257606705209875,High Risk
53,31,2,6,4.206302368788194,8.347984925799404,7.12604684254733,Medium Risk
32,8,9,3,4.809416080843035,7.618052549549525,0.6958178354357902,Medium Risk
23,11,13,3,3.7631181695499762,3.2909588031475954,4.96364372466307,Medium Risk
74,10,14,1,3.6318912371622503,5.339565469349338,4.727068986362891,Medium Risk
71,45,2,4,0.5226866756159654,0.6168029625309546,3.1070352355824093,High Risk
35,15,8,3,6.855386205626233,2.0874588239862923,8.704051699420997,Medium Risk
37,0,4,0,4.362144171200454,4.858205588603991,1.70433201879996,High Risk
83,44,12,7,1.9479380264392676,0.8597373527921159,3.5246278439923984,Medium Risk
98,20,14,2,8.160335023020684,8.433323548919375,7.741715000229291,Medium Risk
88,29,2,5,8.025607481516278,7.180062101076478,0.30422314393284244,Medium Risk
98,12,14,3,4.8639162808889385,9.436336706484948,6.7295040024636865,Medium Risk
24,33,4,8,2.984506611477605,6.934669059640272,8.163977263615706,Medium Risk
92,3,1,6,6.380927257964524,9.404013722621855,9.322678388381672,Medium Risk
17,27,10,8,2.8815213577740306,5.5451255569096505,8.762966404914849,Medium Risk
81,37,3,9,2.3600793032371206,6.002186110619694,3.193841168336852,Medium Risk
65,30,9,2,7.305146540263267,9.769710546262608,5.863641413229526,Medium Risk
53,26,1,0,0.403252397209507,6.421291468642604,0.7729349315046585,High Risk
34,4,1,4,0.9476847103459396,0.307865688607466,2.578700035480086,High Risk
79,24,11,2,0.06788174023589777,7.238027766305233,0.9422237874750738,Medium Risk
60,2,7,5,1.5294318647542615,9.054686921374156,3.1518729015396385,Medium Risk
40,32,0,7,0.6899000871045946,7.955802497943266,8.75187213458729,Medium Risk
99,3,13,3,9.958023677799186,5.838332726254226,3.4716683967429263,Medium Risk
32,24,6,4,2.888099699540896,6.713035130935163,5.618981030014264,Medium Risk
67,19,4,4,1.4926801266924727,9.901917892516718,4.333808481149408,High Risk
32,33,14,3,2.4099625799591795,0.9066208850933832,4.589165242987353,Medium Risk
13,25,10,3,9.361255715401347,6.672448286332395,9.695720518365583,Medium Risk
20,4,7,3,5.201602230243957,2.8339769457059383,2.9615446826385794,High Risk
47,34,0,3,3.648180963078569,6.4009039658617,6.273244695231713,High Risk
19,27,10,3,8.733914579092193,6.076235758839388,4.200626695794471,Medium Risk
7,28,6,4,3.9499027054903246,1.5345683210816208,0.6114618104768621,High Risk
6,8,4,1,3.350085699576958,2.0674664574023915,4.89330831624236,High Risk
66,37,3,1,2.072825225497356,6.2162957804321355,8.133433290451084,High Risk
16,49,6,8,3.7779682390941147,1.2822994730377413,0.9875296868168837,Medium Risk
32,5,9,1,3.1668435601692604,2.6518087513032285,0.6959184739630897,High Risk
47,18,14,5,6.7730395929814105,8.352455477380024,1.5363152039326666,Medium Risk
75,43,1,1,2.895827046707271,3.270915060016386,7.644001113893061,High Risk
58,10,11,4,5.771997464225614,4.880601562696629,7.239953841447379,Medium Risk
85,1,14,3,0.658921650319727,9.411403351458404,5.650177689061105,Medium Risk
21,46,0,6,1.9128915669651436,2.271490888369463,4.682264040926324,High Risk
29,43,0,6,4.074052716113488,3.896260173580104,8.88325814702622,Medium Risk
37,43,10,5,9.369492539086954,6.064577755435456,7.666978238334825,Low Risk
50,8,11,9,3.7725198571569543,7.553389295039722,8.119422513018051,Medium Risk
53,20,0,4,6.640741211998341,9.016533867127052,8.132623013506542,Medium Risk
7,23,14,0,2.5508722242139816,9.154729875735152,6.42717154745558,Medium Risk
26,33,11,2,1.2703357597323173,7.76640074372623,4.580146243159459,Medium Risk
26,21,4,8,0.5853660008005013,2.283308365933104,8.646777525856503,Medium Risk
97,2,9,0,3.0541349854275133,0.24809330042565803,9.260074176032507,High Risk
20,11,6,4,1.5766102679690797,3.837739303556238,0.23806043258343013,High Risk
